Dates,Tem_Low,Tem_High,WP_Night,WP_Day
2013/1/1,-3,5,3.5,3.5
2013/1/2,-5,1,5.5,5.5
2013/1/3,-5,-1,4.5,3.5
2013/1/4,-3,1,3.5,3.5
2013/1/5,-3,3,3.5,3
2013/1/6,-2,4,3,3
2013/1/7,-1,4,3.5,3.5
2013/1/8,-1,6,3,4.5
2013/1/9,-3,5,3.5,3.5
2013/1/10,-1,7,3.5,3.5
2013/1/11,0,7,3.5,3.5
2013/1/12,3,9,3.5,3.5
2013/1/13,0,9,3.5,3.5
2013/1/14,1,11,3.5,3
2013/1/15,-1,9,3.5,3.5
2013/1/16,-2,7,3.5,4.5
2013/1/17,-4,4,4.5,3.5
2013/1/18,-2,4,3.5,3.5
2013/1/19,3,9,3.5,3.5
2013/1/20,4,9,3.5,3.5
2013/1/21,1,6,3.5,3.5
2013/1/22,-1,6,3.5,3.5
2013/1/23,1,10,3.5,3.5
2013/1/24,-2,9,4.5,3.5
2013/1/25,-1,9,3.5,3.5
2013/1/26,-1,10,3.5,3
2013/1/27,-1,9,3.5,3.5
2013/1/28,5,12,3.5,3.5
2013/1/29,4,15,3.5,3.5
2013/1/30,9,17,3.5,3.5
2013/1/31,10,15,3.5,3.5
2013/2/1,4,14,3.5,4.5
2013/2/2,4,9,4.5,3.5
2013/2/3,6,11,3.5,3.5
2013/2/4,4,10,4.5,4.5
2013/2/5,2,6,3.5,3.5
2013/2/6,-1,8,3.5,3.5
2013/2/7,-5,1,5.5,5.5
2013/2/8,-4,-1,4.5,3.5
2013/2/9,-4,3,3.5,3.5
2013/2/10,-1,7,3.5,3.5
2013/2/11,2,7,4.5,3.5
2013/2/12,-1,7,3.5,3.5
2013/2/13,3,9,3.5,3.5
2013/2/14,3,8,3.5,4.5
2013/2/15,1,9,3.5,3.5
2013/2/16,5,11,3.5,4.5
2013/2/17,1,11,3.5,4.5
2013/2/18,-2,5,5.5,4.5
2013/2/19,-4,1,3.5,3.5
2013/2/20,0,7,3.5,3.5
2013/2/21,4,10,3.5,3.5
2013/2/22,2,13,3,3
2013/2/23,4,15,3.5,3.5
2013/2/24,7,15,3.5,3.5
2013/2/25,10,17,3.5,3.5
2013/2/26,7,17,3.5,3.5
2013/2/27,8,15,3.5,3.5
2013/2/28,4,19,3.5,4.5
2013/3/1,0,7,5.5,4.5
2013/3/2,-1,7,3.5,3.5
2013/3/3,5,12,3.5,3.5
2013/3/4,6,17,3.5,3.5
2013/3/5,8,20,3.5,3.5
2013/3/6,12,23,4.5,3.5
2013/3/7,13,25,4.5,3.5
2013/3/8,15,26,4.5,3.5
2013/3/9,7,28,4.5,5.5
2013/3/10,4,11,5.5,3.5
2013/3/11,6,12,3.5,3.5
2013/3/12,6,22,3.5,5.5
2013/3/13,0,10,5.5,4.5
2013/3/14,2,11,3.5,3.5
2013/3/15,6,15,3.5,3.5
2013/3/16,10,16,3.5,3.5
2013/3/17,9,14,3.5,3.5
2013/3/18,11,22,4.5,3.5
2013/3/19,6,19,3.5,3.5
2013/3/20,1,12,5.5,4.5
2013/3/21,8,15,3.5,3.5
2013/3/22,7,19,3.5,3.5
2013/3/23,7,11,3.5,4.5
2013/3/24,2,13,4.5,4.5
2013/3/25,5,13,4.5,4.5
2013/3/26,3,10,4.5,3.5
2013/3/27,8,17,3.5,3.5
2013/3/28,8,21,3.5,4.5
2013/3/29,6,16,4.5,4.5
2013/3/30,7,18,3.5,3.5
2013/3/31,8,19,3.5,4.5
2013/4/1,9,22,3.5,4.5
2013/4/2,6,18,3.5,3.5
2013/4/3,9,20,3.5,3.5
2013/4/4,13,22,3.5,3.5
2013/4/5,8,19,4.5,4.5
2013/4/6,2,13,4.5,4.5
2013/4/7,8,16,3.5,3.5
2013/4/8,8,21,3.5,4.5
2013/4/9,5,17,4.5,3.5
2013/4/10,6,18,3.5,3.5
2013/4/11,7,22,3.5,3.5
2013/4/12,13,25,3.5,3.5
2013/4/13,14,27,4.5,4.5
2013/4/14,12,26,3.5,3.5
2013/4/15,18,30,4.5,3.5
2013/4/16,13,29,4.5,3.5
2013/4/17,12,27,3.5,3.5
2013/4/18,8,21,4.5,5.5
2013/4/19,7,17,4.5,4.5
2013/4/20,3,11,4.5,3.5
2013/4/21,7,16,3.5,3.5
2013/4/22,10,18,4.5,3.5
2013/4/23,10,18,3.5,3.5
2013/4/24,12,24,3.5,3.5
2013/4/25,9,26,3.5,3.5
2013/4/26,13,26,3.5,3.5
2013/4/27,16,29,4.5,3.5
2013/4/28,19,31,4.5,3.5
2013/4/29,12,26,4.5,4.5
2013/4/30,11,25,3.5,3.5
2013/5/1,12,25,3.5,3.5
2013/5/2,13,26,3.5,3.5
2013/5/3,13,28,3.5,3.5
2013/5/4,14,26,3.5,3.5
2013/5/5,15,27,3.5,3.5
2013/5/6,17,22,3.5,3.5
2013/5/7,16,23,4.5,3.5
2013/5/8,17,19,4.5,3.5
2013/5/9,17,20,3.5,3.5
2013/5/10,15,25,3.5,3.5
2013/5/11,16,28,3.5,3.5
2013/5/12,17,31,4.5,3.5
2013/5/13,18,32,3.5,3.5
2013/5/14,20,33,3.5,4.5
2013/5/15,16,27,4.5,4.5
2013/5/16,15,19,4.5,3.5
2013/5/17,18,22,3.5,3.5
2013/5/18,17,21,3.5,3.5
2013/5/19,19,28,3.5,3.5
2013/5/20,18,30,3.5,3.5
2013/5/21,19,32,3.5,3.5
2013/5/22,20,32,3.5,3.5
2013/5/23,21,31,3.5,3.5
2013/5/24,21,30,3.5,3.5
2013/5/25,21,31,3.5,3.5
2013/5/26,21,23,5.5,5.5
2013/5/27,19,24,4.5,3.5
2013/5/28,20,28,3.5,3.5
2013/5/29,18,28,3.5,3.5
2013/5/30,16,19,3.5,3.5
2013/5/31,19,24,3.5,3.5
2013/6/1,17,25,3.5,3.5
2013/6/2,16,26,3.5,3.5
2013/6/3,18,29,3.5,3.5
2013/6/4,19,31,3.5,3.5
2013/6/5,21,31,4.5,3.5
2013/6/6,21,29,3.5,3.5
2013/6/7,18,23,4.5,5.5
2013/6/8,19,22,4.5,4.5
2013/6/9,19,24,4.5,3.5
2013/6/10,20,25,3.5,3.5
2013/6/11,16,21,3.5,3.5
2013/6/12,17,28,3.5,3
2013/6/13,18,28,3.5,3.5
2013/6/14,19,29,3.5,3.5
2013/6/15,23,30,3.5,3.5
2013/6/16,26,31,3.5,3.5
2013/6/17,27,35,3.5,3.5
2013/6/18,28,34,3.5,3.5
2013/6/19,23,32,3.5,3.5
2013/6/20,22,32,3.5,3.5
2013/6/21,22,32,3.5,3.5
2013/6/22,23,31,3.5,3.5
2013/6/23,22,26,3.5,3.5
2013/6/24,22,28,3.5,3.5
2013/6/25,20,25,3.5,3.5
2013/6/26,22,27,3.5,3.5
2013/6/27,21,26,3.5,3.5
2013/6/28,21,28,3.5,3.5
2013/6/29,23,30,3.5,3.5
2013/6/30,25,30,3.5,3.5
2013/7/1,28,34,3.5,3.5
2013/7/2,28,35,4.5,3.5
2013/7/3,29,35,4.5,3.5
2013/7/4,26,35,4.5,3.5
2013/7/5,22,31,3.5,3.5
2013/7/6,23,26,3.5,3.5
2013/7/7,26,30,3.5,3.5
2013/7/8,27,33,4.5,3.5
2013/7/9,27,35,4.5,3.5
2013/7/10,28,35,4.5,3.5
2013/7/11,28,36,4.5,3.5
2013/7/12,28,35,3.5,3.5
2013/7/13,26,34,4.5,5.5
2013/7/14,27,32,5.5,5.5
2013/7/15,26,33,4.5,3.5
2013/7/16,26,33,4.5,3.5
2013/7/17,27,33,3.5,3.5
2013/7/18,27,35,4.5,3.5
2013/7/19,27,36,3.5,3.5
2013/7/20,26,35,3.5,3.5
2013/7/21,26,32,3.5,3.5
2013/7/22,26,32,4.5,3.5
2013/7/23,28,35,4.5,3.5
2013/7/24,28,36,4.5,3.5
2013/7/25,29,37,4.5,3
2013/7/26,28,37,3.5,3.5
2013/7/27,28,36,3.5,3.5
2013/7/28,28,36,3.5,3.5
2013/7/29,29,36,3.5,3.5
2013/7/30,28,36,3.5,3.5
2013/7/31,27,35,3.5,3.5
2013/8/1,28,36,3.5,3.5
2013/8/2,28,34,4.5,3.5
2013/8/3,27,33,4.5,3.5
2013/8/4,28,36,4.5,3.5
2013/8/5,28,36,4.5,3.5
2013/8/6,29,38,4.5,3.5
2013/8/7,29,39,4.5,3.5
2013/8/8,29,39,4.5,3.5
2013/8/9,29,39,3.5,3.5
2013/8/10,29,39,4.5,3.5
2013/8/11,29,39,3.5,3.5
2013/8/12,28,39,3.5,3.5
2013/8/13,27,39,3.5,3.5
2013/8/14,28,38,3.5,3.5
2013/8/15,28,36,3.5,3.5
2013/8/16,27,36,3.5,3.5
2013/8/17,27,37,3.5,3.5
2013/8/18,27,37,3.5,3.5
2013/8/19,26,34,3.5,4.5
2013/8/20,26,34,4.5,4.5
2013/8/21,27,34,4.5,4.5
2013/8/22,26,32,5.5,5.5
2013/8/23,28,34,4.5,3.5
2013/8/24,25,33,3.5,3.5
2013/8/25,24,30,3.5,3.5
2013/8/26,23,29,3.5,3.5
2013/8/27,25,32,3.5,3.5
2013/8/28,27,35,3.5,3.5
2013/8/29,25,34,3.5,4.5
2013/8/30,21,32,4.5,4.5
2013/8/31,19,28,3.5,3.5
2013/9/1,19,29,3.5,3.5
2013/9/2,19,29,3.5,3.5
2013/9/3,21,29,3.5,3.5
2013/9/4,20,29,3.5,3.5
2013/9/5,17,22,3.5,3.5
2013/9/6,17,20,3.5,3.5
2013/9/7,19,24,3.5,3.5
2013/9/8,22,27,3.5,3.5
2013/9/9,23,30,3.5,3.5
2013/9/10,24,29,3.5,3.5
2013/9/11,22,27,3.5,3.5
2013/9/12,23,27,3.5,3.5
2013/9/13,24,28,3.5,3.5
2013/9/14,22,32,3.5,3.5
2013/9/15,22,31,3.5,3.5
2013/9/16,21,31,3.5,3.5
2013/9/17,21,30,4.5,4.5
2013/9/18,20,29,4.5,4.5
2013/9/19,21,30,3.5,3.5
2013/9/20,23,30,3.5,3.5
2013/9/21,24,30,4.5,4.5
2013/9/22,25,30,4.5,4.5
2013/9/23,21,30,4.5,3.5
2013/9/24,16,25,5.5,5.5
2013/9/25,15,21,4.5,3.5
2013/9/26,17,24,3,3.5
2013/9/27,17,23,3.5,3.5
2013/9/28,16,21,3.5,3.5
2013/9/29,17,25,3.5,3.5
2013/9/30,16,27,3.5,3.5
2013/10/1,16,26,3.5,3.5
2013/10/2,15,26,4.5,4.5
2013/10/3,14,24,3.5,3.5
2013/10/4,15,25,3.5,3.5
2013/10/5,18,26,3.5,3.5
2013/10/6,20,25,4.5,4.5
2013/10/7,21,23,5.5,5.5
2013/10/8,17,22,5.5,3.5
2013/10/9,17,25,3.5,3.5
2013/10/10,17,28,3.5,3.5
2013/10/11,17,29,3.5,3.5
2013/10/12,18,28,3.5,3.5
2013/10/13,17,27,4.5,3.5
2013/10/14,13,27,3.5,5.5
2013/10/15,8,19,5.5,4.5
2013/10/16,13,18,3.5,3.5
2013/10/17,15,18,3.5,3.5
2013/10/18,16,23,3.5,3.5
2013/10/19,15,22,3.5,3.5
2013/10/20,13,23,3.5,3.5
2013/10/21,12,22,3.5,3.5
2013/10/22,11,22,3.5,3.5
2013/10/23,11,23,3.5,3.5
2013/10/24,8,20,4.5,4.5
2013/10/25,8,18,4.5,3.5
2013/10/26,8,19,3.5,3.5
2013/10/27,10,20,3.5,3.5
2013/10/28,13,23,3.5,3.5
2013/10/29,16,24,3.5,4.5
2013/10/30,15,20,4.5,4.5
2013/10/31,15,18,4.5,3.5
2013/11/1,15,20,4.5,3.5
2013/11/2,16,22,3.5,3.5
2013/11/3,11,19,3.5,3.5
2013/11/4,10,20,3.5,3.5
2013/11/5,11,20,3.5,3.5
2013/11/6,10,21,3.5,3.5
2013/11/7,12,22,3.5,3.5
2013/11/8,16,24,3.5,3.5
2013/11/9,13,23,3.5,4.5
2013/11/10,9,15,5.5,4.5
2013/11/11,9,15,3.5,3.5
2013/11/12,8,15,3.5,3.5
2013/11/13,12,17,3.5,3.5
2013/11/14,7,16,3.5,3.5
2013/11/15,6,18,3.5,3.5
2013/11/16,5,20,3.5,4.5
2013/11/17,2,15,3.5,3.5
2013/11/18,2,14,3.5,3.5
2013/11/19,3,15,3.5,3.5
2013/11/20,6,18,3.5,3.5
2013/11/21,8,19,3,3.5
2013/11/22,9,18,3,3
2013/11/23,9,18,3.5,3.5
2013/11/24,5,15,5.5,4.5
2013/11/25,2,15,3.5,3
2013/11/26,2,15,3.5,3.5
2013/11/27,-2,9,5.5,5.5
2013/11/28,-3,8,4.5,4.5
2013/11/29,2,10,3.5,3.5
2013/11/30,1,14,4.5,3.5
2013/12/1,3,13,3.5,3.5
2013/12/2,3,16,3,3
2013/12/3,6,17,3,3.5
2013/12/4,6,16,3,3
2013/12/5,4,16,3,3.5
2013/12/6,4,13,3,3
2013/12/7,5,13,3,3
2013/12/8,4,14,3,4.5
2013/12/9,-2,9,5.5,4.5
2013/12/10,1,8,3.5,3.5
2013/12/11,-1,9,3.5,3.5
2013/12/12,0,12,3,3.5
2013/12/13,1,11,3.5,3.5
2013/12/14,5,13,3.5,3.5
2013/12/15,5,12,3.5,4.5
2013/12/16,3,7,3.5,3.5
2013/12/17,2,7,4.5,4.5
2013/12/18,-2,8,4.5,4.5
2013/12/19,-1,7,4.5,3.5
2013/12/20,-3,6,3.5,3.5
2013/12/21,-3,5,3.5,3.5
2013/12/22,-3,5,3.5,3.5
2013/12/23,-2,7,3,3
2013/12/24,-1,7,3.5,3.5
2013/12/25,1,9,3,3.5
2013/12/26,-4,5,4.5,4.5
2013/12/27,-5,3,3,3
2013/12/28,-5,5,3,3
2013/12/29,-2,7,3.5,3.5
2013/12/30,0,11,3.5,3.5
2013/12/31,1,14,4.5,3.5
2014/1/1,2,16,3.5,3.5
2014/1/2,3,17,3.5,3.5
2014/1/3,2,16,4.5,3.5
2014/1/4,1,10,3.5,3.5
2014/1/5,3,13,3,3.5
2014/1/6,6,13,4.5,3.5
2014/1/7,3,10,3.5,4.5
2014/1/8,-3,7,5.5,4.5
2014/1/9,-2,6,3.5,3.5
2014/1/10,2,8,3.5,3.5
2014/1/11,3,7,3.5,3.5
2014/1/12,0,9,3.5,3.5
2014/1/13,-3,7,3.5,3.5
2014/1/14,-2,7,3.5,3.5
2014/1/15,-1,8,3.5,3.5
2014/1/16,1,9,3.5,3.5
2014/1/17,-1,13,3.5,3.5
2014/1/18,-2,7,3.5,3.5
2014/1/19,2,11,3.5,3.5
2014/1/20,-3,9,4.5,3.5
2014/1/21,-3,7,3.5,3.5
2014/1/22,-3,8,3.5,3.5
2014/1/23,2,12,4.5,3.5
2014/1/24,8,18,4.5,4.5
2014/1/25,3,15,4.5,4.5
2014/1/26,1,10,3.5,3.5
2014/1/27,4,14,3.5,3.5
2014/1/28,5,13,4.5,4.5
2014/1/29,5,10,3.5,3.5
2014/1/30,7,15,3.5,3.5
2014/1/31,11,19,4.5,3.5
2014/2/1,10,22,3.5,3.5
2014/2/2,4,18,3.5,3.5
2014/2/3,-1,9,4.5,5.5
2014/2/4,1,6,4.5,4.5
2014/2/5,2,3,4.5,4.5
2014/2/6,1,5,4.5,4.5
2014/2/7,-3,2,4.5,3.5
2014/2/8,-2,4,3.5,4.5
2014/2/9,-5,2,4.5,4.5
2014/2/10,-4,2,3.5,3.5
2014/2/11,-4,2,3.5,3.5
2014/2/12,0,4,3.5,3.5
2014/2/13,-1,4,4.5,3.5
2014/2/14,-1,7,3.5,3.5
2014/2/15,3,9,3.5,3.5
2014/2/16,4,7,3.5,3.5
2014/2/17,1,7,3.5,4.5
2014/2/18,-3,2,4.5,4.5
2014/2/19,-3,5,3.5,3.5
2014/2/20,-1,9,3.5,3.5
2014/2/21,2,11,3.5,3.5
2014/2/22,4,12,3.5,3.5
2014/2/23,6,14,4.5,3.5
2014/2/24,8,13,3.5,3.5
2014/2/25,8,10,3.5,3.5
2014/2/26,8,12,3.5,3.5
2014/2/27,7,13,3.5,4.5
2014/2/28,5,8,4.5,3.5
2014/3/1,2,8,3.5,3.5
2014/3/2,4,12,3.5,3.5
2014/3/3,6,14,3.5,4.5
2014/3/4,3,12,3.5,3.5
2014/3/5,4,12,4.5,4.5
2014/3/6,0,8,4.5,3.5
2014/3/7,4,11,3.5,4.5
2014/3/8,1,9,3.5,3.5
2014/3/9,5,14,3.5,3.5
2014/3/10,5,17,4.5,3.5
2014/3/11,7,18,3.5,3.5
2014/3/12,5,14,4.5,5.5
2014/3/13,3,11,4.5,3.5
2014/3/14,5,18,3.5,3.5
2014/3/15,7,22,4.5,3.5
2014/3/16,12,23,4.5,3.5
2014/3/17,13,25,4.5,3.5
2014/3/18,9,25,3.5,4.5
2014/3/19,7,10,4.5,5.5
2014/3/20,3,14,5.5,3.5
2014/3/21,4,15,3.5,3.5
2014/3/22,7,19,3.5,3.5
2014/3/23,11,20,3.5,3.5
2014/3/24,14,19,3.5,3.5
2014/3/25,12,20,3.5,3.5
2014/3/26,11,23,3.5,3.5
2014/3/27,14,24,4.5,3.5
2014/3/28,15,21,3.5,3.5
2014/3/29,10,18,3.5,3.5
2014/3/30,11,21,3.5,3.5
2014/3/31,8,18,4.5,3.5
2014/4/1,10,20,3.5,3.5
2014/4/2,12,21,3.5,3.5
2014/4/3,7,22,4.5,4.5
2014/4/4,9,20,3.5,3.5
2014/4/5,7,20,4.5,3.5
2014/4/6,10,18,3.5,3.5
2014/4/7,12,20,3.5,3.5
2014/4/8,12,24,3.5,3.5
2014/4/9,14,25,3.5,3.5
2014/4/10,15,27,3.5,3.5
2014/4/11,14,20,3.5,3.5
2014/4/12,12,18,4.5,3.5
2014/4/13,10,18,3.5,3.5
2014/4/14,11,23,3.5,3.5
2014/4/15,14,22,4.5,4.5
2014/4/16,16,19,3.5,3.5
2014/4/17,14,20,3.5,3.5
2014/4/18,13,21,4.5,4.5
2014/4/19,12,15,4.5,3.5
2014/4/20,12,18,3.5,3.5
2014/4/21,12,16,3.5,3.5
2014/4/22,11,21,3.5,3.5
2014/4/23,13,23,4.5,3.5
2014/4/24,15,24,4.5,4.5
2014/4/25,16,21,5.5,5.5
2014/4/26,16,21,3.5,3.5
2014/4/27,13,19,4.5,4.5
2014/4/28,12,20,3.5,3.5
2014/4/29,13,22,3.5,3.5
2014/4/30,14,25,3.5,3.5
2014/5/1,16,28,3.5,3.5
2014/5/2,15,26,4.5,3.5
2014/5/3,15,24,3.5,3.5
2014/5/4,10,20,4.5,3.5
2014/5/5,11,22,3.5,3.5
2014/5/6,13,25,4.5,3.5
2014/5/7,17,28,4.5,3.5
2014/5/8,16,29,4.5,4.5
2014/5/9,17,23,4.5,4.5
2014/5/10,18,22,5.5,5.5
2014/5/11,14,21,4.5,3.5
2014/5/12,17,28,3.5,3.5
2014/5/13,19,28,3.5,3.5
2014/5/14,17,28,3.5,3.5
2014/5/15,16,28,3.5,3.5
2014/5/16,18,28,3.5,3.5
2014/5/17,16,23,3.5,3.5
2014/5/18,16,25,3.5,3.5
2014/5/19,17,27,3.5,3.5
2014/5/20,19,30,3.5,3.5
2014/5/21,19,31,3.5,3.5
2014/5/22,18,32,3.5,3.5
2014/5/23,20,29,5.5,5.5
2014/5/24,23,28,4.5,3.5
2014/5/25,22,29,3.5,3.5
2014/5/26,20,32,4.5,3.5
2014/5/27,22,33,4.5,3.5
2014/5/28,23,34,3.5,3.5
2014/5/29,23,35,3.5,3.5
2014/5/30,23,34,3.5,3.5
2014/5/31,22,32,4.5,4.5
2014/6/1,21,25,4.5,5.5
2014/6/2,18,25,5.5,4.5
2014/6/3,19,25,4.5,3.5
2014/6/4,20,29,3.5,3.5
2014/6/5,21,30,3.5,3.5
2014/6/6,22,31,3.5,3.5
2014/6/7,22,31,3.5,3.5
2014/6/8,22,32,3,3.5
2014/6/9,20,31,3.5,3.5
2014/6/10,20,31,3.5,3.5
2014/6/11,21,31,3.5,3.5
2014/6/12,21,31,3.5,3.5
2014/6/13,23,33,3.5,3.5
2014/6/14,25,34,3.5,3.5
2014/6/15,22,29,3.5,3.5
2014/6/16,21,24,3.5,3.5
2014/6/17,21,26,3.5,3.5
2014/6/18,22,27,3.5,3.5
2014/6/19,22,31,3.5,3.5
2014/6/20,22,27,3.5,3.5
2014/6/21,22,26,3.5,3.5
2014/6/22,21,26,3.5,3.5
2014/6/23,21,28,3.5,3.5
2014/6/24,22,31,3.5,3.5
2014/6/25,21,25,3.5,3.5
2014/6/26,21,24,3.5,3.5
2014/6/27,21,27,3.5,3.5
2014/6/28,22,30,3.5,3.5
2014/6/29,22,31,3.5,3.5
2014/6/30,23,29,3.5,3.5
2014/7/1,22,25,3.5,3.5
2014/7/2,21,24,3.5,3.5
2014/7/3,22,31,3.5,3.5
2014/7/4,22,26,3.5,4.5
2014/7/5,21,23,4.5,3.5
2014/7/6,20,28,3.5,3.5
2014/7/7,21,30,3.5,3.5
2014/7/8,23,30,3.5,3.5
2014/7/9,24,31,4.5,3.5
2014/7/10,25,34,3.5,3.5
2014/7/11,24,32,3.5,3.5
2014/7/12,22,28,3.5,3.5
2014/7/13,23,29,3.5,3.5
2014/7/14,23,31,3.5,3.5
2014/7/15,24,30,3.5,3.5
2014/7/16,24,28,3.5,3.5
2014/7/17,25,29,3.5,3.5
2014/7/18,26,33,3.5,3.5
2014/7/19,27,35,3.5,3.5
2014/7/20,27,36,3.5,3.5
2014/7/21,27,36,3.5,3.5
2014/7/22,27,36,3.5,3.5
2014/7/23,27,35,3.5,3.5
2014/7/24,26,32,5.5,6.5
2014/7/25,24,29,5.5,4.5
2014/7/26,25,31,3.5,3.5
2014/7/27,25,28,3.5,3.5
2014/7/28,25,31,3.5,3.5
2014/7/29,26,33,3.5,3.5
2014/7/30,27,35,3.5,3.5
2014/7/31,26,34,3.5,3.5
2014/8/1,25,30,4.5,4.5
2014/8/2,26,31,4.5,3.5
2014/8/3,26,34,3.5,3.5
2014/8/4,27,36,3.5,3.5
2014/8/5,28,36,3.5,3.5
2014/8/6,27,35,3.5,3.5
2014/8/7,25,31,3.5,3.5
2014/8/8,24,26,3.5,3.5
2014/8/9,23,27,3.5,3.5
2014/8/10,23,27,3.5,3.5
2014/8/11,23,28,3.5,3.5
2014/8/12,22,28,3.5,3.5
2014/8/13,21,23,4.5,3.5
2014/8/14,21,24,3.5,3.5
2014/8/15,22,29,3.5,3.5
2014/8/16,22,28,3.5,3.5
2014/8/17,21,25,3.5,3.5
2014/8/18,21,25,3.5,3.5
2014/8/19,21,28,3.5,3.5
2014/8/20,20,28,3.5,3.5
2014/8/21,22,30,3,3
2014/8/22,24,31,3,3
2014/8/23,25,31,3,3
2014/8/24,23,28,4.5,4.5
2014/8/25,23,29,3.5,3.5
2014/8/26,22,29,3.5,3.5
2014/8/27,20,23,3.5,3.5
2014/8/28,21,24,3.5,3.5
